case_id,option,participant_id,date,calendar_summary,layer_1_3_patterns_for_context,layer_4_patterns_for_context,recommendation,reason,grounded_in,safety_note,relevance_1_5,behavioral_alignment_1_5,feasibility_1_5,safety_1_5,specificity_1_5,overall_preferred_A_or_B
S028,B,P010,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S029,A,P010,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal","Add a Wind-down block at 22:15 (replace or cap the 'optional work session' at 22:15 rather than 22:30, and mark the remaining time as screen-free wind-down)","The optional work session currently ends at 22:30, which overlaps with the elevated late-night screen window. Capping active work at 22:15 and treating the tail as a wind-down buffer creates a consistent nightly anchor that can help pull sleep onset earlier over several days.","phone-mediated-sleep-delay, sleep_onset_hour, late_night_screen_min","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S029,B,P010,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S030,A,P010,2026-03-13,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal","Add a Wind-down block at 22:15 to replace or follow the optional work session, signaling a hard stop on screen-based work before 22:30","The optional work session currently ends at 22:30, which sits right at the start of the elevated late-night screen window. Inserting a wind-down block at 22:15 creates a visible calendar boundary that nudges the transition away from screens earlier, directly targeting the phone-mediated-sleep-delay pattern. The session is marked flexible, so this is a low-disruption change.","phone-mediated-sleep-delay, sleep_onset_hour, late_night_screen_min","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S030,B,P010,2026-03-13,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S031,A,P011,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S031,B,P011,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability","phone-mediated-sleep-delay, circadian-instability-with-sleep-loss","Replace or cap the 'optional work session' (21:00–22:30) with a hard stop at 21:45, and add a Wind-down block from 21:45–22:30 (no screens)",Late-night screen use spiked to 53 min yesterday and sleep onset has drifted ~36 min later over 3 days. Ending active screen-based work by 21:45 and protecting the 45 minutes before a target sleep time of ~23:15 directly addresses the phone-mediated-sleep-delay pattern without removing the work session entirely.,"phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S032,A,P011,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Convert or end the 'optional work session' by 21:30 and add a Wind-down block from 21:30–22:30 (no screens, low-stimulation activity)","Late-night screen use is the most pronounced deviation (+158%) and is co-occurring with sleep onset drifting to ~00:38. Ending active screen-based work by 21:30 and protecting the following hour as a wind-down window creates a buffer before a target sleep onset closer to the baseline of ~23:20. The existing optional work session already ends at 22:30, so this is a low-burden shift rather than a new commitment.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S032,B,P011,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S033,A,P011,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",Replace or end the 'optional work session' (21:00–22:30) by 21:30 and add a Wind-down block from 21:30–22:30 in its place,"Late-night screen use is running at 3× baseline and is the most direct driver of the delayed sleep onset. The optional work session sits in exactly this window and is marked flexible. Capping work at 21:30 and protecting the remainder as wind-down time removes the structural reason to be on a screen late, giving sleep onset a chance to shift earlier.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S033,B,P011,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S034,A,P012,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,Add a short 'change-of-scene' break block (20–30 min) between the afternoon study block and the evening deadline work block — ideally taken outside or in a different location than the study space.,"The mobility-entropy and location-revisit deviations both point to reduced location variety yesterday. A brief, low-effort location change mid-afternoon breaks the concentration at familiar places without disrupting any fixed commitments. It fits naturally in the gap between 17:00 and 20:00.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S034,B,P012,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S035,A,P012,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S035,B,P012,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,"behavioral-withdrawal, screen-compensated-withdrawal","Add a hard-stop Wind-down block at 22:00 after the deadline work block, lasting 20 minutes — a screen-free buffer before sleep","The deadline work block ends at 22:00 and screen time is running elevated. Adding a brief buffer prevents the work block from bleeding into late-night screen use, which would further destabilize sleep onset timing.","total_screen_min, screen-compensated-withdrawal","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S036,A,P012,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,Add a 'Change of scenery' block — a short walk or errand outside the top-3 familiar locations — on the next available weekday afternoon,"Mobility entropy is pronounced-down and location revisit ratio is pronounced-up, both sustained 3 days. A brief, low-effort out-of-home slot introduces variety without requiring a large schedule change, gently nudging the location pattern back toward baseline.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S036,B,P012,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S037,A,P013,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S037,B,P013,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,Add a 'Wind-down / wrap up' block at 21:30 to signal the end of the optional work session earlier than 22:30,"The optional work session runs until 22:30, which may be contributing to a later and less consistent sleep onset. Capping active work at 21:30 with a short wind-down buffer preserves the study time while creating a more regular evening anchor — directly addressing the SRM drift and giving the SRI a chance to recover.","circadian-instability, social_rhythm_metric, sleep_regularity_index","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S038,A,P013,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"End or convert the 'optional work session' to a wind-down block by 22:00, freeing 22:00–23:00 as a pre-sleep buffer","Sleep onset has been drifting later and sleep regularity is down. Wrapping active work by 22:00 creates a consistent anchor point before the target sleep window, supporting a more stable schedule on nights before early fixed commitments.","circadian-instability, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S038,B,P013,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S039,A,P013,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S039,B,P013,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,"circadian-instability, sleep-debt-accumulation","Convert or cap the 'optional work session' (21:00–22:30) to end by 21:30, and add a Wind-down block from 21:30–22:15","The optional work session currently runs until 22:30, which leaves very little buffer before a midnight sleep onset. Capping it at 21:30 and replacing the tail with a wind-down block creates a consistent nightly anchor event — directly addressing the irregular social rhythm and giving the circadian system a reliable cue. This is a low-burden change since the session is already marked flexible.","circadian-instability, sleep_onset_hour, social_rhythm_metric","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S040,A,P014,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,phone-mediated-sleep-delay-with-fragmented-attention,"Add a 'Wind-down / screens off' block at 22:00–22:30 this evening, after the problem set work block ends at 21:30",Late-night screen use was ~50% above baseline yesterday and coincided with shorter sleep. A 30-minute buffer between the end of evening work and intended sleep onset creates a natural stopping point and reduces the chance of screen use drifting later. Keeps the problem set block intact while protecting sleep opportunity.,"phone-mediated-sleep-delay-with-fragmented-attention, late_night_screen_min, sleep_duration_hours","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S040,B,P014,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S041,A,P014,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S041,B,P014,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,phone-mediated-sleep-delay-with-fragmented-attention,"Add a Wind-down block at 21:30 (immediately after problem set work ends) — no screens, low-stimulation activity for 30 minutes before attempting sleep.","Late-night screen use is running 2× personal baseline on 2 of the last 3 nights, and sleep is averaging 1.2h shorter than usual. Placing a screen-off buffer right after the last scheduled work block creates a natural stopping point and reduces the window for late-night screen drift that appears to be compressing sleep.","late_night_screen_min, sleep_duration_hours, phone-mediated-sleep-delay-with-fragmented-attention","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S042,A,P014,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,phone-mediated-sleep-delay-with-screen-overload,Add a 'Wind-down — screens off' block at 22:00 (30 min) to create a buffer between the end of evening work and sleep,"Problem set work ends at 21:30; late-night screen use is running ~71 min/night vs a 30-min baseline. A hard stop at 22:00 shortens the late-night screen window and creates a consistent anchor for sleep onset, directly targeting the mechanism compressing sleep below 6h.","late_night_screen_min, sleep_duration_hours, phone-mediated-sleep-delay-with-screen-overload","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S042,B,P014,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S043,A,P015,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S043,B,P015,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,"phone-mediated-sleep-delay, low-mobility-with-sleep-drift",Add a Wind-down block at 22:30–23:00 (replace or follow the optional work session) to create a screen-free buffer before sleep,"The optional work session currently runs until 22:30, leaving almost no gap before the user's baseline sleep onset. Given the 3-day drift in sleep onset and yesterday's late-night screen spike, adding a 30-minute wind-down block right after 22:30 creates a low-effort structural cue to step away from screens and begin settling — directly targeting the mechanism behind the phone-mediated sleep delay.","phone-mediated-sleep-delay, sleep_onset_hour, late_night_screen_min","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S044,A,P015,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S044,B,P015,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal","Convert 'optional work session' (21:00–22:30) to a hard end at 21:30, or remove it and reschedule to an afternoon slot earlier in the week","The optional work session is the last calendar item before the observed late-night screen window. Ending or shifting it earlier creates a natural transition point before 22:00, reducing the runway for screen use that has been running ~80 min past baseline. This directly targets the phone-mediated sleep delay without removing the work time entirely.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S045,A,P015,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S045,B,P015,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal","Replace or cap the 'optional work session' (21:00–22:30) with a hard stop at 21:30, leaving 22:00 onward free for wind-down",Late-night screen time is running ~3× baseline and sleep onset has shifted 1.4h later over 3 consecutive days. The optional work session ending at 22:30 sits squarely in the high-risk window. Ending work-related screen use by 21:30 creates a buffer before a target sleep onset closer to baseline (~23:00–23:15).,"phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S046,A,P016,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S046,B,P016,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,phone-mediated-sleep-delay,"End or convert the 'optional work session' (21:00–22:30) to a screen-free or low-screen activity by 22:00, and add a 15-minute Wind-down block at 22:00","The optional work session runs until 22:30, which overlaps with the window where late-night screen use has been elevated. Capping active screen work at 22:00 and inserting a short wind-down buffer gives a natural transition point that aligns sleep onset closer to the ~23:20 baseline.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S047,A,P016,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss, screen-time-creep",Add a Wind-down block at 22:15–23:00 (screen-free or low-stimulation) on evenings with late optional work or study sessions,"Late-night screen use is the strongest deviation and the most proximate driver of delayed sleep onset. A wind-down block creates a hard boundary between screen activity and sleep, targeting the phone-mediated-sleep-delay pattern. 22:15 gives a 15-minute buffer after the optional work session ends and aligns with the user's typical sleep onset target (~23:21).","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S047,B,P016,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S048,A,P016,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Replace or end the 'optional work session' (21:00–22:30) at 22:00 and add a Wind-down block from 22:00–23:00 — no screens, low-stimulation activity only.","Late-night screen use is running ~72 minutes over baseline every night and is the most direct driver of the delayed sleep onset. Capping the optional work session 30 minutes early and protecting the 22:00–23:00 slot creates a buffer before a target sleep onset of ~23:30, which would recover roughly 1.5h of sleep over the week. The session is already marked flexible, so this is a low-disruption change.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S048,B,P016,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S049,A,P017,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,Add a short 'Change of Scenery' break block (15–20 min walk or errand outside usual locations) between the morning commitments and the afternoon study block,"A brief out-of-home anchor between 11:15 and 15:00 introduces a new location point, which works against the narrowing location routine and revisit-ratio rise, while also providing a consistent mid-day timing anchor that can help re-regularize daily rhythm.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio, social_rhythm_metric","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S049,B,P017,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S050,A,P017,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,Add a short 'change-of-scene' break (15 min walk or errand outside) between the afternoon study block and the evening deadline work block,"The behavioral-withdrawal pattern shows location range has narrowed over recent days. A brief, low-effort outing between the two flexible work blocks introduces a new location point without disrupting fixed commitments, gently countering the concentration at familiar places.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S050,B,P017,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S051,A,P017,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S051,B,P017,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,"behavioral-withdrawal, screen-time-with-routine-disruption",Add a brief 'Leave the building' or 'Short walk' block (15–20 min) in the early afternoon on the next available weekday,"Mobility entropy has been pronounced and sustained for 3 days, with nearly all time at familiar locations. A low-commitment, recurring prompt to step outside a habitual location — even briefly — introduces a small amount of location variety without requiring a major schedule change.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S052,A,P018,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S052,B,P018,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,Add a Wind-down block at 22:00–22:30 each evening this week to create a consistent pre-sleep anchor and signal the end of the optional work session by 22:00,The optional work session already ends at 22:30; shifting the wind-down to start at 22:00 creates a soft stop that protects a consistent sleep onset time and directly counters the 3-day drift in sleep regularity.,"sleep_regularity_index, circadian-instability","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S053,A,P018,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"Add a 'Wind-down / screens off' block at 22:30–23:00 on weeknights, replacing or capping the optional work session end time","The optional work session currently ends at 22:30, which leaves little buffer before the drifted sleep onset (~00:14). A protected wind-down block creates a hard daily anchor that discourages the session from running later and signals the end of the active day — directly targeting both the late sleep onset and the irregular routine timing.","circadian-instability, sleep_onset_hour, social_rhythm_metric","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S053,B,P018,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S054,A,P018,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S054,B,P018,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"Add a 'Wind-down / wrap up' block at 22:00–22:30, replacing or capping the optional work session, to create a consistent evening boundary","The optional work session currently runs until 22:30, which leaves very little buffer before a midnight-or-later sleep onset. Adding a wind-down block at 22:00 signals a consistent daily anchor point in the evening — directly addressing the irregular routine timing (SRM) and giving sleep onset a better chance of stabilizing closer to baseline. This is a low-burden change: it doesn't remove the work session, it just caps it.","circadian-instability, social_rhythm_metric, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S055,A,P019,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S055,B,P019,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,fragmented-attention-with-sleep-loss,"Add a Wind-down block at 22:00 (30 min) after the problem-set work ends, as a soft stop signal before bed",The problem-set block runs until 21:30. Adding a brief wind-down buffer discourages the session from drifting later and reduces the chance of elevated screen activity pushing sleep onset back further — directly addressing the acute short-sleep deviation.,"fragmented-attention-with-sleep-loss, sleep_duration_hours","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S056,A,P019,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,fragmented-attention-with-sleep-loss,Add a 'Wind-down / screens off' block at 22:00–22:30 on evenings with late work (starting tonight),Late-night screen use was up 65% yesterday and sleep has been ~1.2h shorter than usual on 2 of 3 recent nights. Placing a visible wind-down block immediately after the problem-set work slot (which ends 21:30) creates a low-friction cue to close devices before the window when screen use has been creeping up.,"late_night_screen_min, sleep_duration_hours, fragmented-attention-with-sleep-loss","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
